#{"t_start": 1764787575.2858071, "env_id": "None"}
r,l,t,success
20.080666,314,430.510481,False
19.092418,313,430.729097,False
20.376754,313,430.942968,False
20.531609,313,431.170859,False
20.524638,314,431.407789,False
20.012518,312,431.626793,False
19.590335,313,434.0294,False
19.386692,313,434.283578,False
20.587729,314,434.543043,False
21.434832,313,434.80342,False
20.381722,313,435.011973,False
19.070488,313,435.235501,False
19.885662,313,435.471141,False
19.19924,313,437.800653,False
19.374194,313,437.995119,False
20.775872,314,438.193383,False
20.020851,314,438.38795,False
18.299375,313,438.593288,False
20.849421,314,438.801314,False
19.877059,313,439.010674,False
21.682772,315,441.497777,False
20.4031,314,441.718556,False
20.086507,314,441.931347,False
21.106836,314,442.1671,False
-5.251517,300,442.393872,False
19.82328,313,442.662156,False
20.583088,315,445.128508,False
-9.075367,299,445.394386,False
21.071302,316,445.630576,False
21.887745,317,445.84017,False
15.418147,313,446.052923,False
14.445167,312,446.256098,False
20.412091,315,446.453907,False
21.746215,316,448.860188,False
20.277712,318,449.085556,False
20.775215,320,449.285725,False
20.073143,318,449.49056,False
22.170986,318,449.707927,False
20.189502,317,449.908567,False
21.243192,317,452.30097,False
21.458671,318,452.51134,False
18.406456,318,452.725104,False
20.705238,319,452.943417,False
20.680863,318,453.157241,False
20.772968,317,453.393463,False
20.708483,318,453.614982,False
19.978306,318,456.226409,False
20.846356,317,456.43874,False
19.539125,317,456.648647,False
19.15348,319,456.850884,False
20.572485,318,457.051544,False
19.603312,315,457.271907,False
19.180157,317,459.79958,False
21.493653,318,460.060598,False
22.372366,319,460.307569,False
20.770461,318,460.542052,False
19.59471,317,460.759544,False
20.401431,318,460.963012,False
-13.34927,293,463.279831,False
20.12109,316,463.491845,False
20.154036,318,463.70311,False
22.193986,318,463.91526,False
22.05908,319,464.143202,False
-8.808386,299,464.331049,False
22.494305,317,464.596823,False
21.946096,316,467.005121,False
22.666519,315,467.219979,False
22.039064,317,467.430394,False
20.483982,318,467.639898,False
21.186407,317,467.862286,False
22.660156,318,468.085663,False
23.056065,317,470.434915,False
19.828308,315,470.686701,False
20.353899,317,470.954384,False
21.848053,317,471.251796,False
19.599968,316,471.488719,False
19.96163,317,471.698865,False
23.160761,318,471.912892,False
18.10734,316,474.241671,False
21.172155,318,474.469436,False
23.17703,321,474.702915,False
22.449807,319,474.928052,False
20.09301,320,475.209835,False
19.038305,318,475.501556,False
6.710336,309,477.704872,False
19.076142,318,477.914784,False
19.653715,320,478.141855,False
18.357939,318,478.366965,False
23.154619,320,478.641376,False
21.001879,317,478.894527,False
22.351005,320,479.134954,False
21.133154,323,481.657888,False
19.88546,320,481.873346,False
12.414155,313,482.09812,False
21.798337,322,482.332409,False
20.499225,319,482.574549,False
20.804381,320,482.834286,False
21.589021,322,485.148065,False
23.98495,322,485.37486,False
21.47521,325,485.59002,False
20.954537,320,485.807626,False
23.13581,321,486.017318,False
19.34438,321,486.239843,False
23.64541,324,486.465056,False
22.29033,322,489.058043,False
21.135323,321,489.277097,False
23.039092,321,489.48115,False
22.506384,326,489.702891,False
21.4092,320,489.929267,False
18.094531,320,490.157853,False
22.707213,322,492.523737,False
21.346386,321,492.806767,False
21.686064,322,493.068314,False
23.430486,322,493.316508,False
19.892066,323,493.545091,False
23.628448,324,493.771457,False
24.84778,329,496.209382,False
27.104057,330,496.425591,False
23.422822,324,496.657675,False
24.604455,330,496.874462,False
24.952885,326,497.08853,False
23.156699,324,497.293838,False
22.398768,331,497.534338,False
24.455722,332,500.006269,False
28.970836,338,500.274409,False
-10.20766,295,500.499844,False
21.883574,328,500.724555,False
22.820723,329,500.9402,False
-5.727288,299,501.137058,False
27.367153,335,503.594366,False
25.120374,332,503.81232,False
25.238311,329,504.081275,False
24.187373,336,504.330015,False
25.91518,329,504.544799,False
25.071551,332,504.770081,False
25.068786,338,507.192441,False
21.801405,329,507.426451,False
27.878175,341,507.673693,False
28.440111,341,507.940039,False
25.673282,331,508.17991,False
27.191819,337,508.44786,False
25.269696,339,510.853259,False
25.834247,340,511.075813,False
28.333831,343,511.322781,False
26.630399,342,511.58263,False
28.555385,344,511.808794,False
24.401841,329,512.049638,False
29.646829,350,514.366461,False
27.723446,338,514.620978,False
25.083513,330,514.841015,False
28.922362,340,515.137048,False
25.89472,331,515.394066,False
27.987805,341,515.623166,False
27.715264,345,517.986498,False
23.79338,333,518.208323,False
29.357032,341,518.436473,False
26.981167,336,518.670753,False
26.445455,335,518.903416,False
29.351077,340,519.130729,False
25.571279,339,521.467298,False
29.074533,340,521.698062,False
31.274742,357,521.937417,False
28.283378,344,522.178924,False
16.657736,317,522.388995,False
23.41345,334,522.69102,False
29.178537,343,524.977294,False
30.388349,350,525.287909,False
31.207733,354,525.576666,False
28.761619,344,525.895425,False
38.448836,372,526.165566,False
39.908187,377,526.434906,False
33.760114,353,528.810646,False
27.515333,349,529.053902,False
38.059027,378,529.318825,False
33.206341,350,529.612602,False
29.816949,349,529.907757,False
28.561249,342,530.153348,False
30.869058,347,532.465421,False
27.698184,345,532.683962,False
24.32835,334,532.906203,False
28.060184,335,533.128909,False
31.532603,347,533.359465,False
29.403833,338,533.581212,False
27.976122,340,535.984062,False
32.983614,349,536.214554,False
33.09189,348,536.440251,False
30.791423,344,536.681909,False
28.274392,344,536.919569,False
28.083577,338,537.238544,False
30.588824,343,539.715696,False
33.932397,352,539.943337,False
26.294136,338,540.162575,False
30.006145,348,540.384537,False
29.371497,338,540.602984,False
30.475676,345,540.828532,False
31.968978,348,543.331455,False
28.660234,339,543.557775,False
30.351988,353,543.786334,False
31.096414,349,544.007359,False
32.482253,348,544.224727,False
29.340717,343,544.452834,False
31.053833,348,546.826765,False
29.95026,352,547.059291,False
30.828989,355,547.282979,False
38.266509,359,547.546332,False
35.987659,363,547.791638,False
37.326267,366,550.300979,False
56.554547,402,550.575925,False
146.476654,555,550.954379,False
140.369666,1017,551.599561,False
133.391122,911,554.501314,False
147.004358,1055,555.191907,False
140.943927,961,558.084731,False
