#{"t_start": 1764787633.444598, "env_id": "None"}
r,l,t,success
17.602808,314,260.077875,False
17.748144,314,262.759097,False
17.640552,314,263.039051,False
17.741874,314,263.290103,False
17.749195,314,263.52023,False
17.607628,314,263.74308,False
17.716231,314,263.961679,False
17.694369,314,264.184092,False
17.747439,314,266.844765,False
17.64863,314,267.067558,False
17.637571,314,267.293602,False
17.742555,314,267.520365,False
17.705464,314,267.739441,False
17.634999,314,267.959679,False
17.651546,314,271.076608,False
17.739508,314,271.308793,False
17.63947,314,271.539266,False
17.748247,314,271.785956,False
17.744736,314,272.024022,False
17.652399,314,272.268477,False
17.746578,314,272.750061,False
17.605169,314,276.798699,False
17.748058,314,277.480881,False
17.687575,314,277.923602,False
17.634482,314,278.2115,False
17.605566,314,278.603259,False
17.60588,314,279.16489,False
17.609475,314,282.235223,False
17.747357,314,282.561514,False
17.621776,314,283.089138,False
17.732381,314,283.421289,False
17.621056,314,283.68812,False
17.620731,314,283.90713,False
17.599446,314,284.146609,False
17.720109,314,286.966791,False
17.681838,314,287.196724,False
17.683204,314,287.478247,False
17.629961,314,287.723004,False
17.716697,314,287.955465,False
17.631307,314,288.185614,False
17.609608,314,290.771841,False
17.604619,314,291.067715,False
17.74795,314,291.338299,False
17.648767,314,291.58802,False
17.744532,314,291.809905,False
17.633859,314,292.061395,False
17.724158,314,292.315078,False
17.645486,314,295.10785,False
17.625899,314,295.321714,False
17.604255,314,295.542038,False
17.643871,314,295.762256,False
17.63482,314,295.971869,False
17.604015,314,296.198938,False
17.738789,314,300.283653,False
17.743345,314,300.5139,False
17.610937,314,300.763697,False
17.600941,314,301.074791,False
17.638007,314,301.50095,False
17.604164,314,301.792531,False
17.635705,314,302.087351,False
17.605608,314,304.498689,False
17.696647,314,304.712292,False
17.748239,314,304.928252,False
17.605834,314,305.142987,False
17.620462,314,305.363504,False
17.624427,314,305.580272,False
17.610985,314,305.789015,False
17.618338,314,308.356141,False
17.748289,314,308.582565,False
17.601121,314,308.807369,False
17.745402,314,309.044718,False
17.604107,314,309.276111,False
17.748556,314,309.500203,False
17.674373,314,312.081512,False
17.604005,314,312.325892,False
17.621011,314,312.62231,False
17.746802,314,312.932604,False
17.606594,314,313.189877,False
17.605716,314,313.417709,False
17.629372,314,313.648329,False
17.607544,314,316.256108,False
17.748482,314,316.498432,False
17.647862,314,316.727046,False
17.604006,314,316.961143,False
17.693254,314,317.19397,False
17.621338,314,317.426524,False
17.607037,314,320.107201,False
17.646472,314,320.337261,False
17.746697,314,320.565804,False
17.711149,314,320.798348,False
17.653724,314,321.021361,False
17.738899,314,321.240445,False
17.747925,314,321.478577,False
17.629488,314,324.205995,False
17.614967,314,324.436981,False
17.629973,314,324.705414,False
17.606812,314,324.985483,False
17.742245,314,325.299892,False
17.645284,314,325.557949,False
17.662285,314,328.214992,False
17.634,314,328.49904,False
17.604365,314,328.748831,False
17.746097,314,328.985889,False
17.605792,314,329.239615,False
17.61105,314,329.483565,False
17.605326,314,329.734196,False
17.61076,314,332.42,False
17.611178,314,332.709922,False
17.746333,314,332.986263,False
17.70261,314,333.232396,False
17.617302,314,333.488728,False
17.656573,314,333.767953,False
17.697337,314,336.545997,False
17.625852,314,336.765076,False
17.746387,314,336.991809,False
17.62814,314,337.23572,False
17.606293,314,337.475593,False
17.606072,314,337.750987,False
17.737322,314,338.042601,False
17.704369,314,340.816045,False
17.607022,314,341.031361,False
17.694963,314,341.260488,False
17.606218,314,341.498077,False
17.604444,314,341.732304,False
17.609869,314,342.030286,False
17.748161,314,344.598092,False
17.605149,314,344.816361,False
17.605881,314,345.03919,False
17.606303,314,345.255656,False
17.619008,314,345.469098,False
17.604088,314,345.678914,False
17.635699,314,345.890439,False
17.748846,314,348.637216,False
17.604202,314,348.852317,False
17.686763,314,349.08958,False
17.605989,314,349.334291,False
17.647012,314,349.601226,False
17.608134,314,349.866215,False
17.725578,314,352.428883,False
17.650609,314,352.644913,False
17.604581,314,352.900982,False
17.747948,314,353.12156,False
17.615108,314,353.336768,False
17.606543,314,353.551902,False
17.606422,314,353.786946,False
17.607053,314,356.449707,False
17.748143,314,356.693241,False
17.606356,314,356.925483,False
17.610619,314,357.218512,False
17.637167,314,357.488061,False
17.715045,314,357.739526,False
17.61508,314,360.441601,False
17.625793,314,360.696441,False
17.602455,314,360.933362,False
17.605419,314,361.29495,False
17.728993,314,361.591909,False
17.604004,314,361.835927,False
17.626053,314,362.070217,False
17.614777,314,364.696375,False
17.745385,314,364.965919,False
17.681853,314,365.18956,False
17.67412,314,365.415016,False
17.678783,314,365.636807,False
17.604338,314,365.856646,False
17.637149,314,368.631319,False
17.747192,314,368.862305,False
17.746963,314,369.086873,False
17.643095,314,369.326935,False
17.611277,314,369.561819,False
17.60939,314,369.856415,False
17.658055,314,370.132173,False
17.605506,314,372.648351,False
