#{"t_start": 1764741947.369764, "env_id": "None"}
r,l,t,success
22.894119,332,359.593701,False
22.963991,332,359.763173,False
23.053128,332,359.932805,False
23.119345,332,360.111826,False
22.912424,332,360.282627,False
22.970077,332,362.405062,False
22.917228,332,362.687798,False
22.905889,332,362.92515,False
22.892943,332,363.149678,False
22.954708,332,363.331049,False
22.901168,332,363.550037,False
22.900244,332,365.802075,False
22.893174,332,366.008973,False
23.00617,332,366.222197,False
22.91,332,366.429221,False
22.89336,332,366.642323,False
22.930301,332,366.832149,False
22.964428,332,368.882969,False
22.96095,332,369.053966,False
23.08071,332,369.224397,False
22.934448,332,369.396158,False
22.94908,332,369.565517,False
22.895843,332,369.732191,False
22.893024,332,371.703426,False
23.047045,332,371.882675,False
23.325262,332,372.059316,False
23.007354,332,372.234053,False
22.893369,332,372.402859,False
23.061403,332,372.577724,False
22.898095,332,372.774499,False
22.917967,332,375.065996,False
22.921432,332,375.263243,False
22.902945,332,375.44002,False
23.004299,332,375.614632,False
22.981613,332,375.800744,False
22.910764,332,376.047909,False
22.894082,332,378.7093,False
22.893436,332,378.914872,False
22.908057,332,379.132154,False
22.92021,332,379.360124,False
23.005891,332,379.644315,False
22.906978,332,379.844787,False
22.945973,332,382.315431,False
22.90135,332,382.494634,False
23.020544,332,382.672365,False
23.005839,332,382.856714,False
22.911555,332,383.033481,False
22.893197,332,383.20756,False
22.965048,332,385.153812,False
23.097476,332,385.3326,False
22.919473,332,385.511182,False
23.005284,332,385.683337,False
22.901199,332,385.861963,False
22.893586,332,386.033238,False
22.920961,332,388.068106,False
23.002383,332,388.240827,False
22.898294,332,388.412098,False
22.900929,332,388.585572,False
22.897194,332,388.758799,False
22.89322,332,388.932035,False
23.005689,332,390.985298,False
22.912167,332,391.191821,False
22.914638,332,391.377572,False
22.903264,332,391.647285,False
22.892931,332,391.861883,False
22.943119,332,392.072634,False
23.005962,332,392.282904,False
22.894039,332,394.612843,False
23.034364,332,394.798472,False
23.006314,332,395.01944,False
22.893123,332,395.286475,False
22.894283,332,395.504546,False
22.899037,332,395.733499,False
22.893025,332,397.817377,False
22.893445,332,397.986323,False
22.918731,332,398.15674,False
22.936753,332,398.325686,False
23.054687,332,398.491445,False
22.892929,332,398.663032,False
23.062336,332,400.543997,False
23.005803,332,400.711004,False
22.897366,332,400.938973,False
23.005815,332,401.121309,False
22.9965,332,401.292924,False
22.90789,332,401.461698,False
22.894905,332,403.378527,False
22.898217,332,403.553035,False
22.893713,332,403.721594,False
23.005167,332,403.89254,False
22.914136,332,404.063629,False
23.063549,332,404.229172,False
