#{"t_start": 1764628579.8160498, "env_id": "None"}
r,l,t
-4883.321719,209,23.450655
-1593.035524,42,23.465615
-157.85604,1,23.466033
-2608.046842,76,23.492383
-138.200729,1,23.492796
-5890.200496,211,23.567221
-4644.398942,87,23.598215
-148.967312,1,23.598695
-4681.25343,90,23.629252
-132.44405,1,23.629709
-13024.378422,351,23.765903
-149.359238,1,23.766477
-10748.700472,247,23.861882
-138.754744,1,23.862346
-142.221228,1,23.862726
-136.517643,1,23.863111
-157.279307,1,23.863495
-152.812278,1,23.863859
-6134.941409,284,23.962308
-5378.613609,117,24.001749
-23257.738639,355,25.13588
-21307.212361,342,25.254978
-11988.600833,286,25.350917
-141.435027,1,25.351362
-149.280083,1,25.351744
-141.293207,1,25.352122
-157.694625,1,25.352487
-10456.889235,199,25.418727
-154.344892,1,25.419213
-158.92759,1,25.419606
-146.764711,1,25.419984
-145.719931,1,25.420372
-19717.557082,355,25.540907
-149.044515,1,25.541368
-20638.219145,399,25.667724
-156.879412,1,25.66816
-128.648559,1,25.668532
-141.463302,1,25.668906
-6299.990033,250,26.712507
-16529.983587,293,26.815968
-13800.283334,261,26.910398
-155.223732,1,26.911699
-143.139828,1,26.912329
-3109.489949,60,26.939553
-162.145318,1,26.939992
-4467.049458,261,27.029181
-144.885657,1,27.029733
-10629.595843,272,27.118516
-147.814603,1,27.118987
-144.347724,1,27.119376
-5462.174228,127,27.158968
-8771.570413,283,27.246908
-160.847866,1,27.247363
-8975.244353,260,27.330636
-142.13526,1,27.331096
-144.865782,1,27.331481
-2167.978298,57,27.351713
-5179.615467,216,28.286879
-7810.255453,280,28.386415
-6111.960253,195,28.454906
-6377.443261,160,28.514921
-134.313441,1,28.51551
-128.207903,1,28.515963
-6447.648034,183,28.583969
-129.441535,1,28.584531
-5229.635514,161,28.645856
-142.146788,1,28.646303
-3982.216692,134,28.695466
-3107.463696,161,28.748994
-3181.232619,78,28.775695
-343.438523,8,28.778464
-150.804369,1,28.778913
-8374.586783,259,28.870431
-2265.239306,62,28.892912
-146.504396,1,28.89335
-159.978416,1,28.893745
-152.451539,1,28.894128
-8627.707535,196,28.961404
-6070.289095,126,29.899349
-158.365588,1,29.899792
-6044.557007,163,29.953318
-22592.939055,363,30.075059
-3950.200861,112,30.110538
-157.697539,1,30.110988
-153.602797,1,30.111371
-5778.414836,277,30.207425
-145.790626,1,30.207891
-12661.479137,222,30.277582
-157.378208,1,30.278034
-9802.285642,244,30.355792
-152.579168,1,30.356237
-138.277893,1,30.35661
-161.890739,1,30.356984
-160.125222,1,30.357351
-6579.597508,118,30.412334
-144.964489,1,30.412827
-163.836934,1,30.413234
-163.252522,1,30.413658
-10104.671287,210,30.491342
-1461.70619,35,30.503698
-157.17101,1,30.504137
-3454.836136,181,30.563596
-6864.422591,118,31.461047
-9574.915716,219,31.535671
-165.639163,1,31.536122
-163.698393,1,31.536506
-1552.531566,45,31.551698
-155.078592,1,31.552145
-143.13485,1,31.552534
-163.901044,1,31.552916
-133.499512,1,31.553289
-143.481147,1,31.553652
-141.9674,1,31.554017
-15648.693804,287,31.650352
-157.640872,1,31.650777
-3850.197222,70,31.677329
-137.993626,1,31.677728
-3835.757498,119,31.716052
-2525.29694,70,31.737917
-3371.100601,145,31.786875
-158.630057,1,31.787319
-5968.427288,107,32.068829
-5071.060693,125,32.115102
-6777.986236,141,32.160312
-9048.74993,203,32.233112
-5214.916972,269,32.322256
-149.296152,1,32.322729
-3896.549432,80,32.348017
-141.322115,1,32.348454
-2430.716713,88,32.376719
-3958.936238,105,33.372918
-14839.960402,311,33.475731
-12418.677218,221,33.546284
-149.651592,1,33.546741
-146.902886,1,33.547125
-135.897973,1,33.547499
-162.47565,1,33.547872
-137.224575,1,33.548238
-5948.647003,231,33.620856
-161.344344,1,33.621307
