time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/std,train/entropy_loss
2165,23,25,51200,0.061376953125,0.0061614825,-0.0038232762963161804,-0.013477151282131672,240,0.0003,0.004174361207287802,0.2,0.8703763484954834,1.0489482879638672,-4.399401512742043
2163,24,26,53248,0.07373046875,0.0080842795,-0.007261167839169502,-0.004885782487690449,250,0.0003,0.006032182011313125,0.2,0.8849453330039978,1.0529463291168213,-4.4039276689291
2159,25,27,55296,0.0275390625,0.0041400613,-0.0002570830867625773,-0.007430805824697018,260,0.0003,0.002743859904285273,0.2,0.9144151210784912,1.0588359832763672,-4.419267956912518
2152,26,28,57344,0.0703125,0.0071823727,-0.004855966515606269,-0.007380894850939512,270,0.0003,0.0014733655264308255,0.2,0.97965008020401,1.0648375749588013,-4.435155488550663
2147,27,29,59392,0.0423828125,0.004462368,-0.0022987865711911583,0.017258090898394585,280,0.0003,0.003208217459041407,0.2,0.9723906517028809,1.0584516525268555,-4.434726770222187
2145,28,30,61440,0.063037109375,0.0065443376,-0.006603350857039914,-0.04381566494703293,290,0.0003,0.001473678752347496,0.2,0.9740321636199951,1.0729464292526245,-4.447696454823017
2144,29,31,63488,0.0640625,0.0064142263,-0.0077968494893866595,-0.02488892525434494,300,0.0003,0.0031328950902661744,0.2,0.776443362236023,1.0857402086257935,-4.486661423742771
2145,30,32,65536,0.07802734375,0.006760831,-0.005954681745788548,0.0003903156903106719,310,0.0003,0.0008228499712345183,0.2,0.9928091168403625,1.0958529710769653,-4.516343800723552
2144,31,33,67584,0.04453125,0.0058156215,-0.003978758878656663,0.01187899149954319,320,0.0003,0.00407891413606194,0.2,0.9001651406288147,1.1056758165359497,-4.543774987757206
2141,32,34,69632,0.0716796875,0.0069614435,-0.0069301051014917904,-0.007116624154150486,330,0.0003,0.0011906793776915946,0.2,0.9900059700012207,1.1100125312805176,-4.561410748958588
2140,33,35,71680,0.0494140625,0.0061271116,-0.007583699974929914,0.034372348338365555,340,0.0003,0.007720580850946135,0.2,0.5853567123413086,1.104917049407959,-4.562696053087711
2143,34,36,73728,0.067431640625,0.0071528796,-0.004918203580018599,-0.020863978192210197,350,0.0003,0.026348167897594976,0.2,0.917914867401123,1.0825740098953247,-4.521713621914387
2143,35,37,75776,0.071923828125,0.007080178,-0.007896575549966655,0.005759216845035553,360,0.0003,0.005729636070554989,0.2,0.8618568778038025,1.0847920179367065,-4.4962799236178395
2142,36,38,77824,0.044091796875,0.004873325,-0.003973377481452189,-0.01839512027800083,370,0.0003,0.003814151029587265,0.2,0.91584712266922,1.1017189025878906,-4.522455088794231
2144,37,39,79872,0.039599609375,0.0057060346,-0.0027821597235742957,-0.022339902818202972,380,0.0003,0.0022004071569654117,0.2,0.9284107089042664,1.1134141683578491,-4.562643314898014
2145,38,40,81920,0.07724609375,0.009243382,-0.00727103021054063,-0.024411771446466446,390,0.0003,0.0043583150059930634,0.2,0.9487248063087463,1.1178733110427856,-4.5856314361095425
2146,39,41,83968,0.0611328125,0.007525828,-0.005548260436626151,0.0192663986235857,400,0.0003,0.0025444961605444404,0.2,0.9836652874946594,1.1101266145706177,-4.577294743061065
2148,40,42,86016,0.04345703125,0.0048891213,-0.0024223551561590286,0.011285501532256603,410,0.0003,0.0037446063333163694,0.2,0.9778618216514587,1.1169663667678833,-4.57675015181303
2149,40,43,88064,0.050390625,0.0064437427,-0.007505919513641856,-0.022428341209888458,420,0.0003,0.0036767681508990792,0.2,0.9796332716941833,1.1058889627456665,-4.571474261581898
2150,41,44,90112,0.035595703125,0.0041714287,-0.005786841944791376,-0.02865559048950672,430,0.0003,0.005730429467803333,0.2,0.9859700202941895,1.1142199039459229,-4.568089424073696
2152,42,45,92160,0.08427734375,0.0071796444,-0.0060565560037503016,0.012457519769668579,440,0.0003,0.005136818641858554,0.2,0.9763978719711304,1.1292067766189575,-4.598631897568703
2154,43,46,94208,0.033203125,0.0046871454,-0.004621415073052049,0.009889881126582623,450,0.0003,0.002130977851948046,0.2,0.9671109318733215,1.1481643915176392,-4.645784065127373
2153,44,47,96256,0.0419921875,0.0067905635,-0.0059754663001513105,-0.015217393636703491,460,0.0003,0.00030893529191189373,0.2,0.9987764358520508,1.1739082336425781,-4.707744984328746
